Index,Value
156,0.001559909
157,6.18E-05
158,0.005568095
159,0.010272596
160,0.404151688
161,0.044912269
162,0.005603677
163,0.000930924
164,4.83E-05
165,0.000175464
166,0.009285456
167,0.061181326
168,0.005257858
169,0.055131355
170,0.013894239
171,3.10E-05
172,0.039938011
173,0.002416377
174,0.050517196
175,0.062222222
176,0
177,0.02893462
178,0.00023548
179,0.002886373
180,0.001605508
181,0.012835282
182,0.028031103
183,0.097468861
184,0.004748764
185,0.025452337
186,0.055634381
187,0
188,0.00555233
189,0.105320959
190,0.007917079
191,0.043114838
192,0.000108327
193,0.002772025
194,0.09387607
195,0.013061917
196,4.83E-05
197,0.000820913
198,0.005451978
199,0.001421674
200,0.02420551
201,0.024513767
202,0.045521956
203,0.035039766
204,0.046784116
205,0.080882967
206,0.067681723
207,0.107931501
208,0.001479806
209,0.002672582
210,0.042110078
211,0.05563031
212,0.012507683
213,0.053089528
214,0.000110343
215,0.105904408
216,0.009428583
217,0.002324727
218,0.000503155
219,4.53E-05
220,0.017874227
221,0.073877905
222,0
223,0.000221098
224,0.001559909
225,0.004903837
226,0.275441206
227,0.028888889
228,4.83E-05
229,0.081055682
230,0.003526922
231,0.076520383
232,0.012639082
233,0.002076855
234,0.000240125
235,0.047228315
236,0.001410966
237,0.176422724
238,0.026242638
239,0.005648002
240,0.078159728
241,0.014110645
242,0.000303125
243,0.007924275
244,6.82E-05
245,0.007405291
246,0.001237779
247,0
248,0.000413096
249,0.017999059
250,0.003687905
251,0.000743202
252,0.078490957
253,0
254,0.048262396
255,2.92E-05
256,0.038871088
257,0.126476242
258,0.005313337
259,0.00275877
260,0.001268414
261,0.155525171
262,0.008189195
263,0.05472279
264,0.00902647
265,0.000194707
266,0.01923433
267,0.038448492
268,0
269,0.053821101
270,0.053821101
271,0.022076062
272,0.029673379
273,0.1197097
274,0.043232267
275,3.23E-05
276,0.081705766
277,0.000122255
278,0.010742999
279,0.006155866
280,0.056381027
281,0.082226461
282,0.06239731
283,0.185034418
284,0.006213178
285,0.000651029
286,0.006932103
287,0.018043454
288,0.00086026
289,0.122612874
290,0.029652154
291,0.00105379
292,0.022048761
293,0.002580539
294,0.003884804
295,0.02737131
296,0.068788155
297,0.000247814
298,0.003185578
299,0.061516098
300,9.47E-05
301,0.005990487
302,0.090957855
303,0.036103328
304,0.008070264
305,0.000670913
306,0.096018634
307,0.005263158
308,0.01175447
309,0.039976159
310,0.003312334
311,5.10E-05
312,0
313,0.069937413
314,0.012498918
315,0.002210283
316,0.053390089
317,0.330804126
318,5.66E-05
319,0.107130888
320,0.000173608
321,0.059419489
322,0.00068244
323,0.096018634
324,0.001044954
325,0.000785759
326,0.007763654
327,0.000254653
328,0.035018747
329,0.042631122
330,0.032349146
331,0.120000025
332,0.003944492
333,0.011492407
334,0.01458306
335,0.060152278
336,0.001583166
337,0.024352784
338,0.000471597
339,0.010974011
340,0.0007853
341,0.03410442
342,0.075470861
343,0.004839489
344,0.404151688
345,0.026119348
346,0.148533283
347,0.008967649
348,0.008494473
349,0
350,0.018401587
351,1.02E-05
352,0.065104278
353,0.100930984
354,0.029984298
355,0.060016921
356,0.001965971
357,0.092490467
358,0.040493379
359,0.016153269
360,0.494871573
361,0.007914748
362,0.08378626
363,0.000768147
364,0.185034418
365,0.00480297
366,0.001957824
367,0.000887688
368,0.002327698
369,0.068758955
370,0.090947382
371,0.039877855
372,0.043199946
373,0.002411436
374,0.091121316
375,0.042779434
376,0
377,0.011826651
378,0.000173608
379,6.82E-05
380,0.052579808
381,0.101674911
382,0.003348203
383,0.003155168
384,0.002433418
385,0.006456154
386,0.000413536
387,0.026405099
388,0.002394202
389,6.18E-05
390,5.85E-05
391,0.004585309
392,0.031430196
393,0.051086643
394,0.156079593
395,0.015986308
396,0.127032087
397,0.05876575
398,0.083173727
399,0.0080382
400,8.49E-05
401,0.026361476
402,0.008735363
403,0.002902002
404,0.071324765
405,0.023611254
406,0.077981027
407,0.049729799
408,0.024180265
409,8.00E-05
410,0.00667847
411,0.000551866
412,0.001512875
413,0.021481178
414,4.96E-05
415,0.000221098
416,0.001906447
417,0.005571073
418,0.000154765
419,0.012436297
420,0.001736556
421,0.035017034
422,0
423,0.019999977
424,3.81E-06
425,2.77E-05
426,0.003451328
427,0.069901773
428,4.83E-05
429,0.078181762
430,0
431,3.23E-05
432,0.000103338
433,0.009906912
434,0.002042779
435,0.005451978
436,0.020266411
437,0.02380953
438,0.069169559
439,0.131995639
440,0.014381431
441,0.109863498
442,0.025692052
443,0.00380227
444,2.64E-05
445,0.039452646
446,0.006099151
447,0.123743478
448,0.003562717
449,1.54E-05
450,0.099228256
451,2.00E-05
452,0.000613685
453,3.23E-05
454,5.10E-05
455,0
456,0.010685046
457,0.494871573
458,0.021962368
459,0.007577443
460,0.045855794
461,0.001933567
462,0.001469317
463,0.008016341
464,0
465,0.001605508
466,0.087840468
467,0.024873638
468,0.012595809
469,0.020191865
470,0.166171023
